URL,Title,Author,Number of reviews,Number of ratings,Average rating,Pages,Publish year,Series,Genres,Awards,Places,minmax_norm_ratings,mean_norm_ratings
https://www.goodreads.com//book/show/18080920-the-transfer,The Transfer,Veronica Roth,3022,52215,4.18,55,2013,1,"Young Adult, Science Fiction, Dystopia",,"Chicago, Illinois",7.54,1.72
https://www.goodreads.com//book/show/155291.Agents_of_Light_and_Darkness,Agents of Light and Darkness,Simon R. Green,459,14854,4.0,233,2003,1,"Fantasy, Urban Fantasy, Fantasy",,,7.0,1.18
https://www.goodreads.com//book/show/11021735-the-last-prophet,The Last Prophet,Jeff W. Horton,12,106,4.01,300,2011,0,"Christian, Fiction, Christian Fiction",,,7.03,1.21
https://www.goodreads.com//book/show/22456265-their-border-lands-freedom,Their Border Lands Freedom,Marla Monroe,3,101,4.21,174,2014,1,"Erotica, Menage, Adult Fiction",,,7.63,1.81
https://www.goodreads.com//book/show/6101718-the-magicians,The Magicians,Lev Grossman,22463,238848,3.52,402,2009,1,"Fantasy, Fiction, Fantasy",3.0,"New York State, Brakebills College for Magical Pedagogy",5.56,-0.26
https://www.goodreads.com//book/show/12372058-rex-rising,Rex Rising,Chrystalla Thoma,81,805,3.59,227,2011,1,"Science Fiction, Young Adult, Fantasy",,,5.77,-0.05
https://www.goodreads.com//book/show/10673576-the-postmortal,The Postmortal,Drew Magary,1335,10847,3.79,369,2011,0,"Fiction, Science Fiction, Science Fiction",2.0,,6.37,0.55
https://www.goodreads.com//book/show/15733233-i-hope-you-find-me,I Hope You Find Me,Trish Marie Dawson,163,1307,3.82,243,2012,1,"Apocalyptic, Post Apocalyptic, Science Fiction",1.0,,6.46,0.64
https://www.goodreads.com//book/show/40698027-a-boy-and-his-dog-at-the-end-of-the-world,A Boy and His Dog at the End of the World,C.A. Fletcher,1575,8499,4.16,365,2019,0,"Fiction, Science Fiction, Science Fiction",1.0,"Mingulay, Western Isles, Scotland",7.48,1.66
https://www.goodreads.com//book/show/9302283-phantom-universe,Phantom Universe,Laura Kreitzer,79,457,3.78,228,2011,1,"Science Fiction, Time Travel, Young Adult",,,6.34,0.52
https://www.goodreads.com//book/show/44175.Rash,Rash,Pete Hautman,535,3346,3.75,256,2006,0,"Young Adult, Science Fiction, Science Fiction",4.0,Canada,6.25,0.43
https://www.goodreads.com//book/show/17733063-heresy,Heresy,Bryan  Murphy,2,8,3.63,21,2013,0,,,,5.89,0.07
https://www.goodreads.com//book/show/18109771-the-fire-sermon,The Fire Sermon,Francesca Haig,1160,6560,3.61,384,2015,1,"Fantasy, Young Adult, Science Fiction",3.0,,5.83,0.01
https://www.goodreads.com//book/show/12754689-rapture,Rapture,Phillip W. Simpson,111,347,3.86,300,2011,1,"Young Adult, Science Fiction, Dystopia",1.0,,6.58,0.76
https://www.goodreads.com//book/show/18069760-linehan-saves,Linehan Saves,Bryan  Murphy,2,8,4.75,not known,2013,0,,,,9.25,3.43
https://www.goodreads.com//book/show/1206358.Fearless,Fearless,Tim Lott,197,1233,3.84,267,2007,0,"Young Adult, Science Fiction, Dystopia",1.0,,6.52,0.7
https://www.goodreads.com//book/show/337109.Paris_in_the_Twentieth_Century,Paris in the Twentieth Century,Jules Verne,232,2085,3.39,222,1997,0,"Science Fiction, Classics, Fiction",,,5.17,-0.65
https://www.goodreads.com//book/show/689855.Brother_in_the_Land,Brother in the Land,Robert Swindells,96,1128,3.95,151,2000,0,"Young Adult, Apocalyptic, Post Apocalyptic",3.0,,6.85,1.03
